Symptom 1,Symptom 2,Symptom 3,Disease
Abdominal pain,Belly pain,Nausea,Gastroenteritis
Fever,Cough,Difficulty breathing,Pneumonia
Joint pain,Fatigue,Muscle weakness,Rheumatoid Arthritis
Chest pain,Fast heart rate,Shortness of breath,Heart Attack
Blurred vision,Loss of consciousness,,Stroke
Bladder discomfort,Painful urination,Foul smell of urine,Urinary Tract Infection (UTI)
Jaundice,Yellowing of eyes,,Hepatitis
Excessive hunger,Unexplained weight loss,,Diabetes
Acne,Blackheads,Oily skin,Acne Vulgaris
Depression,Irritability,Appetite loss,Major Depressive Disorder
Abdominal pain,Diarrhea,Vomiting,Food Poisoning
Fatigue,Fever,Sweating,Tuberculosis
Headache,Nausea,Sensitivity to light,Migraine
Back pain,Leg pain,Weakness,Sciatica
Ear pain,Sore throat,Swollen lymph nodes,Tonsillitis
Weight gain,Cold intolerance,Constipation,Hypothyroidism
Rash,Itching,Swelling,Allergic Reaction
Abnormal heart rhythm,Dizziness,Fainting,Arrhythmia
Dry mouth,Increased thirst,Frequent urination,Diabetes
Knee pain,Swelling,Stiffness,Osteoarthritis
Vomiting,Abdominal cramps,Bloating,Gastroenteritis
Persistent cough,Chest tightness,Wheezing,Asthma
Fatigue,Hair loss,Sensitivity to cold,Hypothyroidism
Weakness,Pale skin,Shortness of breath,Anemia
Nausea,Vomiting,Abdominal swelling,Pancreatitis
Painful joints,Skin rash,Sun sensitivity,Lupus
Loss of appetite,Fatigue,Weight loss,Cancer
Frequent urination,Increased thirst,Blurred vision,Diabetes
Fever,Red skin,Pus discharge,Cellulitis
Nausea,Vomiting,Severe headache,Meningitis
Redness of eyes,Watery discharge,Itching,Conjunctivitis (Pink Eye)
Hoarseness,Difficulty swallowing,Neck swelling,Thyroid Disease
